machine;description;nature;excution;frequency;nextExecution
M07;BOTAO SELETORA COM CHAVE;ELÉTRICO;INSPEÇÃO/REAPERTO;6M;12
M07;VALVULA ATOS E-RI-RE-05F-10;ELÉTRICO;INSPEÇÃO/REAPERTO;6M;12
M07;TERMOSTATO;ELÉTRICO;INSPEÇÃO/TESTE;6M;12
M07;SENSOR DE SUJIDADE ;ELÉTRICO;INSPEÇÃO/TESTE;6M;12
M07;SENSOR DE SUJIDADE ;ELÉTRICO;INSPEÇÃO/TESTE;6M;12
M07;SENSOR DE SUJIDADE ;ELÉTRICO;INSPEÇÃO/TESTE;6M;12
M07;TROCADOR DE CALOR;ELÉTRICO;INSPEÇÃO/TROCA;A;16
M07;"MANGUEIRA D'ÁGUA 1""";MECÂNICO;INSPEÇÃO/TROCA;6M;16
M07;"MANGUEIRA D'ÁGUA 1""";MECÂNICO;INSPEÇÃO/TROCA;6M;16
M07;MANGUEIRA DE ÓLEO ;MECÂNICO;INSPEÇÃO/TROCA;6M;16
M07;MANGUEIRA DE ÓLEO ;MECÂNICO;INSPEÇÃO/TROCA;6M;16
M07;MOTOR DA BOMBA DO PREENCHIMENTO;ELÉTRICO;INSPEÇÃO/MEDIÇÃO;6M;13
M07;CABO DE ALIMENTAÇÃO DOS MOTORES;ELÉTRICO;INSPEÇÃO/MEDIÇÃO;6M;13
M07;CABO DE ALIMENTAÇÃO DOS MOTORES;ELÉTRICO;INSPEÇÃO/MEDIÇÃO;6M;13
M07;CABO DE ALIMENTAÇÃO DOS MOTORES;ELÉTRICO;INSPEÇÃO/MEDIÇÃO;6M;13
M07;"MANGUEIRA DE ÓLEO 5/16"" ";MECÂNICO;INSPEÇÃO/TROCA;6M;16
M07;"MANGUEIRA DE ÓLEO 5/16"" ";MECÂNICO;INSPEÇÃO/TROCA;6M;16
M07;"MANGUEIRA DE ÓLEO 5/16"" ";MECÂNICO;INSPEÇÃO/TROCA;6M;16
M07;"MANGUEIRA DE ÓLEO 5/16"" ";MECÂNICO;INSPEÇÃO/TROCA;6M;16
M07;FILTRO DO ÓLEO ;MECÂNICO;INSPEÇÃO/TROCA;6M;16
M07;FILTRO DO ÓLEO ;MECÂNICO;INSPEÇÃO/TROCA;6M;16
M07;MANGUEIRA DO ÓLEO 5/8;MECÂNICO;INSPEÇÃO/TROCA;6M;16
M07;BOMBA DE PRESSÃO;MECÂNICO;INSPEÇÃO/TROCA;A;13
M07;MOTOR DA BOMBA DE PRESSÃO;MECÂNICO;LIMPEZA DA VENTOINHA, MEDIÇÃO E ISOLAÇÃO;6M;13
M07;MOTOR DE RECIRCULAÇÃO DO ÓLEO;MECÂNICO;LIMPEZA DA VENTOINHA, MEDIÇÃO E ISOLAÇÃO;6M;13
M07;BOMBA DE RECIRCULAÇÃO DO ÓLEO;MECÂNICO;INSPEÇÃO/TROCA;A;13
M07;VÁLVULA DIRECIONAL DO ACUMULADOR DE PRESSÃO;MECÂNICO;INSPEÇÃO/TROCA DE REPAROS;6M;16
M07;TUBULAÇÕES HIDRÁULICAS DO SITEMA;MECÂNICO;INSPEÇÃO/REAPERTO;6M;16
M07;TUBULAÇÕES HIDRÁULICAS DO SITEMA;MECÂNICO;INSPEÇÃO/REAPERTO;6M;16
M07;TUBULAÇÃO DE ALIMENTAÇÃO DOS ACUMULADORES DE PRESSÃO;MECÂNICO;INSPEÇÃO/REAPERTO;6M;16
M07;TUBULAÇÃO DE ALIMENTAÇÃO DOS ACUMULADORES DE PRESSÃO;MECÂNICO;INSPEÇÃO/REAPERTO;6M;16
M07;TUBULAÇÃO DE ALIMENTAÇÃO DO CILINDRO DA PRENSA;MECÂNICO;INSPEÇÃO/REAPERTO;6M;16
M07;TUBULAÇÃO DE ALIMENTAÇÃO DO CILINDRO DA PRENSA;MECÂNICO;INSPEÇÃO/REAPERTO;6M;16
M07;ACUMULADORES DE PRESSÃO;MECÂNICO;INSPEÇÃO/TROCA DA BEXIGA;6M;16
M07;ACUMULADORES DE PRESSÃO;MECÂNICO;INSPEÇÃO/TROCA DA BEXIGA;6M;16
M07;VÁLVULA ESFÉRICA DO ACUMULADOR;MECÂNICO;INSPEÇÃO;6M;16
M07;VÁLVULA ESFÉRICA DO ACUMULADOR;MECÂNICO;INSPEÇÃO;6M;16
M07;VÁLVULA DE RETENÇÃO;MECÂNICO;INSPEÇÃO;6M;16
M07;TANQUE DO CILINDRO DO PREENCHIMENTO;MECÂNICO;INSPEÇÃO/ABASTECIMENTO;A;16
M07;TANQUE DO CILINDRO DO PREENCHIMENTO;MECÂNICO;INSPEÇÃO/ABASTECIMENTO;A;16
